skill,x,y,size
consultant,186.87899780273438,79.50346374511719,70
manager,154.0048065185547,113.54844665527344,28
senior manager,249.54089736938477,46.23724365234375,8
director,117.512939453125,124.8980712890625,64
program manager,202.72956085205078,151.01670837402344,16
software developer,310.6762228012085,95.24636840820312,20
business analyst,168.1656951904297,99.02607727050781,34
analyst,385.82935333251953,277.0309810638428,2
management consultant,385.82935333251953,277.0309810638428,2
project manager,171.55909729003906,77.10939025878906,80
psychotherapist,507.4530029296875,302.1575515270233,2
board member,280.95619010925293,274.77586364746094,6
deputy manager,491.9607391357422,299.14136505126953,2
sales manager,161.11839294433594,157.51724243164062,36
chief operating officer,285.05354499816895,284.6128273010254,4
ceo and founder,491.9607391357422,299.14136505126953,2
faculty,491.9607391357422,299.14136505126953,2
learning & development manager,491.9607391357422,299.14136505126953,2
account manager,105.80072021484375,157.03720092773438,78
professor,357.4422721862793,396.70021057128906,4
hr manager,424.17442321777344,626.7422790527344,4
intern,263.7170295715332,318.21969985961914,4
associate,132.02655029296875,88.18475341796875,36
student,266.3357849121094,144.31167602539062,14
human resources manager,253.66583633422852,308.4789662361145,12
president,142.06053161621094,93.24530029296875,52
managing partner,168.52810668945312,218.89920043945312,12
technical supervisor,536.8314819335938,226.18959045410156,14
recruitment consultant,520.6193542480469,220.3115234375,20
managing director,177.43988037109375,65.27058410644531,68
occupational therapist,536.8314819335938,226.18959045410156,14
adviseur,537.8236389160156,243.3500213623047,14
directeur,521.6752319335938,237.49929809570312,14
design manager,537.8236389160156,243.3500213623047,14
senior principal consultant,521.6752319335938,237.49929809570312,14
scientist,310.0538911819458,428.7442092895508,8
research fellow,347.9148254394531,420.4805221557617,2
cto,220.16594696044922,141.4653778076172,10
partner,177.16698455810547,175.28213500976562,32
analytics consultant,359.2437858581543,412.3092346191406,4
principal,135.92132568359375,108.97608947753906,34
software tester,351.6506576538086,444.4183349609375,2
director of information technology,409.08912658691406,291.96027851104736,2
it infrastructure manager,410.58983612060547,308.508677482605,4
account executive,112.60020446777344,175.7307891845703,42
system engineer,409.08912658691406,291.96027851104736,2
systems engineer,404.7477798461914,364.7305145263672,8
administrator,185.64212036132812,100.33154296875,6
developer,310.1415481567383,122.12983703613281,16
programmer,350.1722221374512,131.21176147460938,2
ceo,124.14605712890625,153.06544494628906,50
software engineer,295.7624845504761,101.63714599609375,22
sharepoint developer,350.1722221374512,131.21176147460938,2
founder,279.94476890563965,100.36865234375,76
owner,131.78550720214844,133.10401916503906,80
front-end developer,334.270450592041,139.58969116210938,6
network engineer,417.4699020385742,358.0589485168457,6
product support engineer,391.47560119628906,350.5211410522461,6
general manager,189.31198120117188,129.87037658691406,28
service delivery manager,382.5383071899414,324.4536647796631,10
technical support engineer,405.6421203613281,345.01173400878906,14
product manager,167.62928771972656,140.3274688720703,66
team leader,197.62124633789062,106.36820983886719,12
"vice president, marketing",190.81177520751953,165.0172882080078,8
founder and ceo,206.0365447998047,169.7838134765625,4
marketing manager,150.32998657226562,147.97552490234375,54
business development manager,151.93829345703125,132.71673583984375,68
area sales manager,67.79502868652344,209.78079223632812,18
regional sales manager,75.72105407714844,198.9978256225586,32
hr executive,180.4127655029297,112.975341796875,6
it manager,331.2534427642822,315.1385269165039,8
recruiter,143.40541076660156,225.6022720336914,6
marketing & communication manager,246.54971313476562,276.9053535461426,4
communications manager,242.39064407348633,254.68062210083008,6
communications specialist,328.2059783935547,289.9659776687622,2
director of communications,315.2787666320801,291.1230821609497,2
communications advisor,320.95754623413086,279.79557037353516,2
pr manager,254.03311157226562,264.8227958679199,4
chief information officer,513.8258209228516,542.0676879882812,2
advisory services,513.8258209228516,542.0676879882812,2
security manager,513.8258209228516,542.0676879882812,2
security specialist,513.8258209228516,542.0676879882812,2
security analyst,513.8258209228516,542.0676879882812,2
security consultant,513.8258209228516,542.0676879882812,2
security advisor,513.8258209228516,542.0676879882812,2
java developer,513.8258209228516,542.0676879882812,2
country manager,194.072509765625,238.57264709472656,8
marketing director,184.8549041748047,144.1901397705078,20
"director, product management",176.694580078125,155.19520568847656,24
ceo & founder,134.55633544921875,204.16802978515625,8
company director,500.8424377441406,346.0890464782715,2
realtor,486.76731872558594,341.95456314086914,2
human resources business partner,500.8424377441406,346.0890464782715,2
sourcing specialist,500.8424377441406,346.0890464782715,2
hr business partner,512.4691925048828,366.5533561706543,4
sales specialist,487.11940002441406,360.5445442199707,4
business manager,88.9532470703125,194.0998992919922,12
director of engineering,357.8652648925781,453.9172668457031,4
art director,352.40196990966797,184.05828857421875,26
branch manager,128.75198364257812,171.62437438964844,6
talent acquisition,238.72503280639648,42.945220947265625,12
sales executive,131.186767578125,183.65996551513672,12
media consultant,445.60333251953125,260.3434829711914,2
eigenaar,445.1676940917969,274.9329319000244,2
planning director,459.93251037597656,256.95273208618164,2
marketing executive,458.4182434082031,270.73997497558594,2
broker,445.60333251953125,260.3434829711914,2
desktop support,394.98292541503906,336.74977111816406,6
systems administrator,333.5065174102783,327.623929977417,10
operations manager,145.89315795898438,171.12461853027344,26
internship,309.7938117980957,245.14271545410156,2
postdoctoral researcher,322.6112422943115,239.35501861572266,4
mobile developer,309.7938117980957,245.14271545410156,2
user experience designer,331.97191047668457,211.7781219482422,6
marketing specialist,288.967809677124,243.5992660522461,4
superintendent,458.2653045654297,303.4800765514374,2
business intelligence consultant,356.25244903564453,278.18945503234863,2
relationship manager,355.57524490356445,268.43811798095703,2
it support,367.9948501586914,308.5837593078613,2
customer support engineer,366.5857696533203,330.5540351867676,8
it support technician,367.9948501586914,308.5837593078613,2
technical manager,367.9948501586914,308.5837593078613,2
sales engineer,376.8763198852539,339.1939125061035,6
researcher,309.06007289886475,217.58557891845703,10
research analyst,290.74173641204834,431.17943572998047,4
mba candidate,443.2972412109375,448.72279357910156,4
associate consultant,318.41299629211426,317.3637228012085,8
research assistant,314.1653833389282,201.720947265625,6
director general,342.07763671875,492.68505859375,2
"vice president, human resources",274.65860176086426,335.5247097015381,4
it helpdesk,420.3320541381836,343.3961715698242,4
technical specialist,431.04420471191406,349.79004669189453,8
service manager,423.23365783691406,330.62652015686035,4
vice president of sales,191.92858123779297,224.61438751220703,4
senior product marketing manager,213.29945373535156,179.9460678100586,4
assistant manager,73.29753112792969,239.84967803955078,4
network specialist,216.4631118774414,314.8194704055786,2
network manager,216.4631118774414,314.8194704055786,2
technical consultant,442.1546325683594,361.9371757507324,16
sales representative,48.49143981933594,217.2703399658203,16
head of production,402.04473876953125,124.1834716796875,4
research executive,204.03759002685547,282.07469367980957,2
phd student,204.03759002685547,282.07469367980957,2
chief technology officer,200.71100616455078,341.6089859008789,2
financial consultant,200.92074584960938,327.5411491394043,2
technology consultant,213.84622955322266,335.34156227111816,2
junior consultant,213.84622955322266,335.34156227111816,2
psychologist,262.8703422546387,13.48052978515625,4
technical recruiter,238.4771728515625,17.5372314453125,6
secretary,263.06066513061523,29.265533447265625,2
auxiliar,251.53086853027344,23.10614013671875,2
project coordinator,249.12806701660156,4.798980712890625,6
gerente,269.9612216949463,0.0,2
consulente,278.309871673584,16.590484619140625,2
development coordinator,283.00145721435547,3.8890380859375,2
founder and owner,152.00350952148438,438.39976501464844,2
founder and chairman,160.08621215820312,407.6051940917969,2
lawyer,148.12615966796875,421.02408599853516,4
attorney at law,148.12615966796875,421.02408599853516,4
compliance manager,148.12615966796875,421.02408599853516,4
webmaster,315.1481237411499,170.91212463378906,2
designer,322.93984603881836,155.72357177734375,10
graphic designer,309.48925256729126,155.88720703125,10
creative director,294.4872989654541,141.3326873779297,16
web developer,323.60707664489746,124.28318786621094,14
visual designer,333.82884216308594,163.99705505371094,8
director of marketing,213.59732818603516,199.23175048828125,8
finance specialist,404.1604919433594,227.21222686767578,6
accounting clerk,404.1604919433594,227.21222686767578,6
laboratory manager,404.1604919433594,227.21222686767578,6
network administrator,391.0199661254883,243.64710235595703,12
product development manager,395.09668731689453,209.92559814453125,6
analista de sistemas,387.72840881347656,225.5570526123047,6
medical student,404.1604919433594,227.21222686767578,6
business improvement manager,403.8726272583008,103.17433166503906,6
reliability engineer,408.29344940185547,90.04458618164062,6
assistant vice president,398.57958221435547,78.15115356445312,2
technical sales,415.186279296875,76.49794006347656,4
software architect,388.96634674072266,93.60639953613281,6
territory manager,113.37466430664062,216.0916748046875,4
controller,111.97651672363281,227.2055206298828,2
"associate director, business development",460.0904235839844,315.63487339019775,2
sales director,156.6073760986328,179.57622528076172,10
purchasing manager,308.56149768829346,361.7159538269043,2
category manager,323.03114891052246,368.54903411865234,2
sourcing manager,321.00219535827637,384.1111526489258,2
strategic sourcing manager,305.45190691947937,386.8727569580078,2
buyer,311.2159032821655,374.8143005371094,2
purchaser,297.76832818984985,373.17024993896484,2
brand manager,189.2509536743164,199.4159164428711,4
avvocato,166.9910888671875,425.8667449951172,2
legal counsel,166.9910888671875,425.8667449951172,2
attorney,166.9910888671875,425.8667449951172,2
creative designer,293.1873779296875,157.16281127929688,2
ui designer,318.0781021118164,138.2441864013672,8
bartender,271.97113037109375,163.8785858154297,2
independent consultant,270.20129585266113,176.08477783203125,2
supply chain manager,260.5655212402344,167.7542724609375,2
product designer,288.895770072937,173.19174194335938,4
national key account manager,160.4034881591797,195.3130111694336,2
support analyst,439.5445556640625,390.0297546386719,2
field engineer,447.8235778808594,384.8463668823242,2
community manager,251.23580932617188,239.36471557617188,6
responsable de comunicación,449.3607940673828,197.2357406616211,2
chef de produit,455.15191650390625,183.33321380615234,2
digital strategist,449.3607940673828,197.2357406616211,2
ejecutiva de cuentas,461.0483093261719,206.17914581298828,2
social media strategist,432.7847900390625,181.85961151123047,4
social media coordinator,465.5194396972656,192.70230102539062,2
chief executive officer,200.690673828125,184.61033630371094,6
founder & ceo,228.93128967285156,182.27710723876953,6
user experience architect,337.76048278808594,222.1932144165039,2
director of accounting,161.62860107421875,304.112541615963,4
channel manager,139.04139709472656,305.27419450879097,4
director of sales,128.0494842529297,299.3157482147217,6
director of customer service,153.9825439453125,294.9280090332031,4
manager - operations,151.2886962890625,325.14708709716797,2
crm manager,151.2886962890625,325.14708709716797,2
digital director,219.74486541748047,487.3663330078125,2
co-owner,219.74486541748047,487.3663330078125,2
engineering manager,231.3304443359375,475.0791931152344,2
senior software development engineer,234.62628173828125,488.8948669433594,2
blogger,217.33963012695312,472.59864807128906,2
technician,366.9192810058594,353.0720405578613,4
project engineer,368.6868362426758,365.4127769470215,2
portfolio manager,434.53724670410156,467.8817443847656,2
financial analyst,453.02899169921875,468.4481506347656,2
head of operations,434.53724670410156,467.8817443847656,2
counselor,453.02899169921875,468.4481506347656,2
investment director,453.02899169921875,468.4481506347656,2
investment banking analyst,430.00682067871094,486.1322021484375,4
head of department,434.53724670410156,467.8817443847656,2
director of security,446.7015075683594,484.4042510986328,2
technical lead,326.69648361206055,107.42695617675781,4
web designer,337.0300483703613,118.02447509765625,4
interaction designer,338.32971954345703,177.10577392578125,2
director of product marketing,418.8950500488281,104.9400634765625,6
business consultant,436.6724548339844,95.28578186035156,6
projectleider,433.54490661621094,110.85752868652344,2
business project manager,432.8700866699219,78.72531127929688,2
scrum master,422.45948791503906,91.88999938964844,4
senior hr generalist,259.6139335632324,360.75654220581055,2
marketing intern,251.56843948364258,355.1719398498535,2
mechanical engineer,370.6902160644531,570.9708862304688,10
engineer,269.4650993347168,513.8565368652344,4
system analyst,353.49681091308594,351.16408920288086,2
product specialist,70.65290832519531,266.7837219238281,8
social media manager,234.9445343017578,241.23230743408203,6
online marketing,195.5849380493164,548.4021606445312,8
hr assistant,272.5818786621094,245.28230667114258,2
coordenador da qualidade,222.91311645507812,566.2418823242188,4
comprador,218.3824920654297,549.4958801269531,2
marketing coordinator,222.91311645507812,566.2418823242188,4
sócio,222.91311645507812,566.2418823242188,4
account director,202.89087677001953,559.8114776611328,6
configuration manager,319.5646228790283,329.44278144836426,6
media planner,220.2612762451172,229.20348358154297,6
crm consultant,416.4897766113281,120.18782043457031,2
accountant,143.6252899169922,243.9224624633789,2
accountmanager,143.6252899169922,243.9224624633789,2
executive director,262.91951751708984,210.6862335205078,2
gerente comercial,256.4659957885742,200.39306640625,2
marketing consultant,250.56384658813477,210.93201446533203,2
artistic director,222.0,383.96458435058594,4
interior designer,232.67125701904297,393.2439956665039,4
job seeker,234.73139190673828,378.82776641845703,4
hostess,232.67125701904297,393.2439956665039,4
head of marketing,210.7700958251953,216.0700912475586,4
event manager,249.51511001586914,387.61368560791016,2
customer service representative,234.79329681396484,196.3105697631836,2
application developer,358.08243560791016,151.84324645996094,2
software consultant,358.08243560791016,151.84324645996094,2
senior .net developer,356.1278266906738,103.78556823730469,2
freelance,356.1278266906738,103.78556823730469,2
director of human resources,424.2916259765625,606.9954528808594,2
chief human resources officer,424.2916259765625,606.9954528808594,2
compensation & benefits manager,409.2584762573242,613.3517761230469,2
analista de recursos humanos,409.2584762573242,613.3517761230469,2
corporate hr,409.2584762573242,613.3517761230469,2
cashier,322.5674819946289,543.4713897705078,2
operations executive,322.5674819946289,543.4713897705078,2
,328.8455867767334,524.7260284423828,168
voorzitter,312.27109146118164,534.7693328857422,2
business executive,225.0459747314453,255.43108749389648,2
medewerker,373.76309967041016,404.8454360961914,2
research scientist,384.11901092529297,411.68151092529297,2
senior sales consultant,373.64833068847656,418.2654037475586,2
tax accountant,527.2757568359375,435.8975524902344,2
tax manager,527.2757568359375,435.8975524902344,2
tax senior,527.2757568359375,435.8975524902344,2
contractor,527.2757568359375,435.8975524902344,2
tax associate,527.2757568359375,435.8975524902344,2
tax consultant,527.2757568359375,435.8975524902344,2
tax director,527.2757568359375,435.8975524902344,2
vp marketing,176.85381317138672,265.1543655395508,2
account coordinator,378.778564453125,477.4983673095703,4
director of recruiting,384.1867141723633,468.831298828125,2
"vice president, business development",279.9716033935547,413.3159942626953,4
chief marketing officer,169.95806884765625,233.51972198486328,4
"vice president, product management",164.85520935058594,245.27711486816406,2
design consultant,55.46528625488281,240.05831909179688,2
recruitment specialist,39.264312744140625,233.53374481201172,4
director/owner,55.46528625488281,240.05831909179688,2
customer service manager,277.12513732910156,325.52883529663086,2
owner/director,268.22729110717773,528.7225189208984,2
project leader,250.06728744506836,546.3717651367188,4
environmental scientist,328.4702777862549,440.9388885498047,2
research intern,326.851131439209,450.36767578125,2
president & ceo,133.0485382080078,286.5847454071045,2
director of technology,162.4203643798828,279.4653835296631,2
advocate,170.96180725097656,286.65587997436523,2
graphic artist,354.9327507019043,479.92054748535156,14
gerente de marketing,343.9087791442871,526.1703796386719,2
commercial manager,335.76681900024414,513.2911987304688,2
producer,343.9087791442871,526.1703796386719,2
president & founder,399.7782440185547,502.10609436035156,2
sales & marketing,399.7782440185547,502.10609436035156,2
chief financial officer,98.20295715332031,350.7206611633301,6
owner/ceo,95.70619201660156,335.3984375,4
finance & accounting manager,95.70619201660156,335.3984375,4
executivo de contas,83.48048400878906,348.0929260253906,2
marketeer,79.3861083984375,334.2148094177246,4
help desk analyst,424.6545181274414,370.9498291015625,2
oracle dba,373.2182159423828,554.6829223632812,6
technical project manager,373.2182159423828,554.6829223632812,6
project director,373.2182159423828,554.6829223632812,6
inside sales,435.78684997558594,553.4692077636719,2
chief technical officer,420.3307647705078,546.8525543212891,2
impiegato,433.88487243652344,536.9354095458984,2
contributor,420.3307647705078,546.8525543212891,2
investor relations,420.3307647705078,546.8525543212891,2
analista de produto,420.3307647705078,546.8525543212891,2
gerente de vendas,241.9354476928711,565.6736145019531,2
proprietário,241.9354476928711,565.6736145019531,2
diretor administrativo,241.9354476928711,565.6736145019531,2
information architect,279.50747299194336,449.2041320800781,2
solution architect,279.50747299194336,449.2041320800781,2
research engineer,279.50747299194336,449.2041320800781,2
director of admissions,279.50747299194336,449.2041320800781,2
retail manager,279.50747299194336,449.2041320800781,2
production supervisor,279.50747299194336,449.2041320800781,2
group director,303.63955450057983,488.25347900390625,2
associate vice president,311.3618984222412,496.2919921875,2
manager sales,318.8340320587158,481.0399627685547,4
consulting manager,318.8340320587158,481.0399627685547,4
sales rep,37.29498291015625,259.4758758544922,6
cfo,58.194488525390625,262.5349006652832,2
managing consultant,37.29498291015625,259.4758758544922,6
real estate agent,0.0,257.3374900817871,2
pharmaceutical sales representative,0.0,257.3374900817871,2
district manager,21.5733642578125,226.7400131225586,6
financial representative,26.583770751953125,243.36717987060547,8
analista de suporte,18.300689697265625,254.62654876708984,4
development associate,15.1904296875,269.24620819091797,2
director comercial,7.64453125,238.75531005859375,2
account representative,7.64453125,238.75531005859375,2
administrative officer,7.64453125,238.75531005859375,2
gerente de contas,88.32331848144531,321.93197441101074,2
division manager,29.217681884765625,276.9686851501465,2
freelance journalist,354.5240364074707,503.22467041015625,8
production engineer,343.1222686767578,581.9030151367188,2
geophysicist,343.1222686767578,581.9030151367188,2
development engineer,343.1222686767578,581.9030151367188,2
asset manager,343.1222686767578,581.9030151367188,2
rotating equipment engineer,343.1222686767578,581.9030151367188,2
head of it,367.64884185791016,495.61907958984375,4
corporate communications,354.5240364074707,503.22467041015625,2
community relations manager,369.93333435058594,516.7835388183594,2
distribution manager,369.93333435058594,516.7835388183594,2
