skill,x,y,size
microsoft office,17.624244689941406,97.95146560668945,84
requirements analysis,131.4123267158866,99.3971061706543,8
visio,129.70997154712677,105.53815460205078,6
process improvement,42.31475830078125,96.53913116455078,28
change management,54.84961700439453,93.05879592895508,28
project management,44.270355224609375,79.27901458740234,86
business intelligence,129.69922304153442,118.64016723632812,4
documentation,95.62328720092773,112.50967407226562,6
user acceptance testing,126.62706995010376,109.3337631225586,4
java,265.37371826171875,216.7213134765625,72
event management,49.450706481933594,73.11890411376953,70
program management,103.25276947021484,93.56593704223633,12
microsoft excel,25.649169921875,97.42345428466797,56
project planning,97.03092956542969,94.50314331054688,10
it strategy,57.423553466796875,216.00377655029297,14
team building,51.16680908203125,87.63601684570312,24
business analysis,55.55023193359375,79.4907455444336,30
problem solving,59.06513214111328,84.2659912109375,22
sketching,138.85760879516602,284.49940490722656,10
industrial design,148.84300231933594,276.59688568115234,6
interaction design,137.24585962295532,277.88905334472656,12
graphic design,156.83696746826172,236.24542999267578,12
design thinking,143.42977237701416,280.7873992919922,4
model making,149.1405487060547,282.90509033203125,4
architecture,149.6878261566162,231.04935455322266,20
product design,145.5477638244629,286.4421081542969,10
concept design,140.65165901184082,289.9442138671875,6
concept development,145.86013221740723,292.19422912597656,6
modeling,151.434965133667,289.85487365722656,4
indesign,141.9076509475708,273.86876678466797,8
illustrator,159.37899589538574,291.3718566894531,22
usability testing,161.72602653503418,283.07122802734375,10
sketchup,155.15685844421387,283.2994384765625,4
design strategy,135.52624464035034,293.68797302246094,8
manufacturing,21.04253387451172,132.41233444213867,28
rhino,140.97417545318604,296.47637939453125,6
packaging,132.68391156196594,285.5165557861328,8
research,96.017333984375,187.93900680541992,28
user-centered design,153.2602481842041,299.0614929199219,6
design research,147.28579807281494,298.3402557373047,4
strategic planning,5.770545959472656,136.69841289520264,44
product marketing,14.371894836425781,147.60016417503357,18
marketing management,17.09600830078125,159.90123176574707,8
social media,13.494819641113281,126.14158821105957,42
budgeting,23.000099182128906,116.33940124511719,24
product strategy,21.69678497314453,147.21449446678162,6
product development,6.622344970703125,152.83648562431335,38
saas,36.16429138183594,136.42563438415527,16
engineering,108.35589027404785,81.0094223022461,26
product launch,15.131118774414062,138.2775001525879,28
account management,37.51640319824219,103.59828186035156,42
competitive analysis,9.524566650390625,158.58390712738037,18
pharmaceutical industry,24.21906280517578,126.56459999084473,18
advertising,2.283843994140625,124.32552719116211,46
telecommunications,47.74494171142578,99.10101699829102,28
english,27.124526977539062,108.94852447509766,30
user experience,65.4906005859375,101.30503463745117,22
business strategy,42.574302673339844,87.43497085571289,28
data analysis,120.95526123046875,99.16947174072266,12
physics,137.80468273162842,150.13947458565235,2
powerpoint,30.77215576171875,116.68614196777344,46
image processing,139.05595302581787,154.54009675979614,2
c,245.23421478271484,197.24009323120117,14
artificial intelligence,134.5704710483551,153.39225363731384,2
html,267.3018035888672,224.1514892578125,88
software development,255.14081573486328,206.83610153198242,34
lead generation,60.4488525390625,143.57120656967163,4
marketing strategy,6.8132781982421875,127.73490715026855,46
sales management,44.19263458251953,110.0638656616211,38
marketing,5.927665710449219,121.05826187133789,34
retail,60.83977508544922,152.84580373764038,4
cold calling,51.44483947753906,131.4167308807373,14
market research,33.61383056640625,127.30733489990234,22
cloud computing,28.22235870361328,145.52614450454712,10
spanish,57.520233154296875,132.50092124938965,4
public speaking,49.24305725097656,122.0845832824707,24
sales process,40.57490539550781,131.12251472473145,12
customer service,30.808082580566406,99.29833602905273,60
facebook,67.76813125610352,197.03253936767578,14
event planning,37.736305236816406,115.14766693115234,32
sales,37.28398132324219,109.04013061523438,22
sales presentations,58.60136413574219,139.13219547271729,4
recruiting,37.77519989013672,122.92370414733887,10
online marketing,29.9095458984375,180.89649391174316,14
marketing communications,10.521049499511719,117.50864028930664,24
digital media,29.00115203857422,187.25641250610352,8
seo,57.49150085449219,210.9073600769043,24
twitter,73.23736190795898,194.4089698791504,2
email marketing,58.52167510986328,200.5124053955078,10
public relations,0.0,118.81397438049316,34
market planning,43.52527618408203,172.66888809204102,2
digital marketing,35.9393310546875,180.8129177093506,26
direct marketing,39.984580993652344,170.50629043579102,4
auditing,68.30177688598633,16.8531494140625,4
accounts payable,62.513389587402344,32.40617370605469,4
financial control,70.9813117980957,22.408615112304688,6
financial management,67.78224182128906,28.49437713623047,4
financial analysis,67.93314743041992,42.56780242919922,10
financial accounting,68.50199508666992,35.48518371582031,10
accounts receivable,67.78224182128906,28.49437713623047,4
sarbanes-oxley act,60.2733154296875,26.66448974609375,2
consolidation,64.3969955444336,21.857757568359375,6
sap,85.21926498413086,60.70075225830078,12
accounting,77.83674621582031,26.126663208007812,10
forecasting,74.29204177856445,42.47179412841797,16
account reconciliation,57.10011291503906,34.521095275878906,2
managerial finance,60.74456787109375,38.209068298339844,2
new business development,38.719703674316406,84.60997772216797,40
coaching,67.52165603637695,88.66476058959961,14
banking,70.74927520751953,84.52813720703125,6
risk management,70.56575775146484,76.89456939697266,8
people management,73.78244018554688,88.70317459106445,8
team leadership,36.43803405761719,93.37408447265625,72
workforce management,61.42076873779297,91.48416137695312,6
call center,66.38125610351562,95.02928924560547,12
customer relations,47.483680725097656,92.95591354370117,16
portfolio management,79.67781066894531,97.96439361572266,6
operations management,55.059364318847656,99.16229248046875,8
negotiation,30.780899047851562,85.94143676757812,60
inventory management,93.73296737670898,75.60016632080078,2
supply chain management,96.09098815917969,69.52445983886719,4
vendor management,79.86483764648438,89.20326614379883,8
customer satisfaction,71.23191452026367,96.5611801147461,6
personal development,76.15702056884766,129.3344497680664,4
executive coaching,73.39643859863281,138.9103126525879,6
teaching,70.63565063476562,281.7298278808594,6
sports marketing,71.49089431762695,134.75164413452148,4
organizational development,90.59207534790039,118.94872856140137,6
athletics,69.76173400878906,114.60463333129883,2
mentoring,67.30334091186523,118.07057571411133,4
microsoft word,23.868560791015625,104.22492218017578,18
cisco technologies,164.36699295043945,149.0054543018341,2
hyper-v,161.61010360717773,153.44397354125977,2
tcp/ip,171.23758697509766,160.13722229003906,6
infrastructure,170.5584487915039,142.5610146522522,6
linux system administration,164.36699295043945,149.0054543018341,2
perl,168.08567428588867,155.30928230285645,4
citrix,171.05454635620117,151.48006296157837,4
copywriting,66.44845581054688,205.03418731689453,10
social networking,63.51648712158203,213.09275436401367,22
technical writing,78.27249526977539,205.33677291870117,4
wordpress,157.26043128967285,225.52800750732422,14
procurement,104.11513328552246,63.89546203613281,2
strategic sourcing,104.11513328552246,63.89546203613281,2
excel,90.98012161254883,64.21375274658203,10
sourcing,171.29762268066406,28.54125213623047,4
mrp,101.44293403625488,59.728233337402344,2
sas,134.19383883476257,125.8321418762207,6
sql,258.4531707763672,221.39578247070312,64
analytics,13.540214538574219,153.47978568077087,10
spss,141.2219705581665,125.31704521179199,4
c++,255.91331481933594,216.44943237304688,40
r,139.44329166412354,120.11760330200195,2
data mining,139.44329166412354,120.11760330200195,2
virtualization,175.55401611328125,110.96900177001953,10
windows server,169.3353500366211,112.24401473999023,16
active directory,175.74831008911133,117.08036041259766,14
technical support,156.1975803375244,117.9820327758789,4
c#,248.35449981689453,218.87765502929688,48
windows,271.91908264160156,213.84075927734375,42
servers,161.3946132659912,119.34906578063965,4
network security,156.38359451293945,130.49573516845703,4
chemistry,153.96045875549316,123.69262886047363,2
biotechnology,107.92246055603027,131.7068157196045,6
instrumentation,158.14914321899414,124.4504566192627,2
writing,90.8673210144043,192.64199447631836,8
editing,85.27678298950195,205.43434524536133,6
community outreach,91.52371215820312,199.8890380859375,2
photoshop,98.1257438659668,197.68766021728516,26
itil,163.04582595825195,104.54638290405273,8
microsoft sql server,252.85669708251953,198.46255493164062,28
computer hardware,170.0325584411621,118.74727249145508,8
security,21.88311767578125,230.99728393554688,6
troubleshooting,170.67078018188477,101.32747650146484,28
purchasing,69.10099792480469,146.97576594352722,2
stakeholder management,125.23584699630737,94.66057586669922,4
logistics,77.90891647338867,83.88680267333984,6
information technology,137.47507572174072,100.05318450927734,6
requirements gathering,125.61052656173706,102.27081680297852,4
administration,170.65005111694336,106.85581970214844,14
volunteer management,44.73894500732422,165.598708152771,2
blogging,61.01654052734375,206.39609909057617,18
community management,69.69715881347656,209.25341033935547,2
video games,74.78954696655273,190.02576065063477,2
linux,246.94365692138672,190.68605041503906,34
us gaap,79.44215774536133,34.64308166503906,4
financial reporting,87.11263656616211,37.659507751464844,2
financial modeling,88.3383560180664,44.10888671875,4
variance analysis,87.11263656616211,37.659507751464844,2
treasury management,87.11263656616211,37.659507751464844,2
microbiology,203.86412048339844,153.27669954299927,2
lifesciences,208.2116470336914,154.76843976974487,2
javascript,148.41408729553223,221.3139190673828,18
pl/sql,207.3564453125,150.21556614618748,2
pcr,253.4455108642578,104.84513092041016,6
quality assurance,89.77497863769531,145.6286654472351,10
team management,50.64037322998047,104.30459213256836,12
ehr,141.27776622772217,105.34073257446289,4
integration,139.79783535003662,109.60057067871094,6
healthcare,145.24168395996094,100.36480331420898,4
management consulting,118.00440979003906,112.18905258178711,4
agile methodologies,256.819580078125,190.71584701538086,20
business requirements,121.3623685836792,107.79153823852539,2
diabetes,98.47449111938477,154.4586181640625,2
environmental awareness,115.1210994720459,154.2050404548645,6
teamwork,93.86978149414062,140.5515012741089,12
windows xp professional,97.09329986572266,143.5706934928894,4
cross-functional team leadership,19.352584838867188,152.2158272266388,12
it service management,89.68994140625,93.40758514404297,4
performance management,141.78024864196777,20.744461059570312,16
shipping,81.34111022949219,110.54672241210938,2
product management,12.895111083984375,168.7118034362793,18
instructional design,128.4474380016327,43.850799560546875,6
workshop facilitation,94.2936782836914,116.89249801635742,2
market analysis,23.67205047607422,155.58438205718994,6
employee relations,142.4916181564331,3.6986541748046875,10
human resources,135.96059131622314,18.667160034179688,6
technical recruiting,149.29457473754883,5.668365478515625,10
interviewing,145.0203914642334,14.537246704101562,6
hris,138.50248908996582,12.288162231445312,2
talent acquisition,144.93714332580566,8.971038818359375,8
payroll,77.76442337036133,16.73388671875,4
internal controls,77.76442337036133,16.73388671875,4
service delivery,85.3040542602539,95.13903427124023,4
football,68.09575653076172,125.20671844482422,2
leadership development,67.66147232055664,130.32009315490723,4
scalability,157.63594245910645,73.98658752441406,2
six sigma,152.95788764953613,72.56593322753906,2
distributed systems,165.11126327514648,74.08153533935547,4
eda,159.31568145751953,69.18929290771484,2
embedded systems,154.59762001037598,67.8470687866211,2
dutch,79.4889144897461,125.48544311523438,4
web design,161.73149490356445,240.5458526611328,18
photography,66.60980987548828,276.0845184326172,4
ms project,91.33320999145508,103.84378433227539,2
aircraft,104.31234169006348,133.7685432434082,4
cardiology,103.42959022521973,141.0087308883667,4
executive search,153.22336387634277,24.92650604248047,10
corporate finance,109.70868492126465,112.35710906982422,4
equities,110.86689186096191,116.06873321533203,4
continuous improvement,29.24291229248047,153.07472896575928,4
business planning,19.81415557861328,141.47877883911133,10
sem,34.414634704589844,194.34389114379883,8
mobile marketing,50.32080078125,189.24199295043945,10
digital strategy,47.39595031738281,194.97728729248047,14
non-profits,91.25695419311523,186.82252502441406,10
scrum,248.57032012939453,204.53102111816406,26
program development,156.28846168518066,105.3338623046875,2
apache,235.99571228027344,197.40901947021484,16
integrated marketing,50.738616943359375,181.62018203735352,8
consumer insights,57.812652587890625,187.89550399780273,2
consumer behaviour,58.88811492919922,183.3537483215332,4
qualitative research,62.50383758544922,180.12105560302734,2
customer insight,58.96392059326172,174.47585105895996,4
wcf,246.1632080078125,209.22495651245117,14
mysql,260.41981506347656,210.8461685180664,46
php,264.13758850097656,205.45917510986328,50
shell scripting,179.40840530395508,134.75544357299805,2
solaris,179.40840530395508,134.75544357299805,2
centos,179.40840530395508,134.75544357299805,2
vmware,189.28436279296875,132.1763038635254,12
sharepoint,174.29191207885742,129.3122043609619,6
e-commerce,44.442718505859375,187.70062255859375,10
salesforce.com,51.15569305419922,136.73802089691162,12
enterprise software,40.66014099121094,143.28213262557983,8
pricing,25.60254669189453,171.19257164001465,2
segmentation,20.854461669921875,168.6098976135254,4
strategic partnerships,26.593063354492188,167.27985763549805,2
struts,199.9597930908203,185.56064987182617,2
xml,251.8346710205078,224.59032440185547,56
jsp,199.9597930908203,185.56064987182617,2
