skill,x,y,NbEmployees,NbEmployeesLastYear,NbEmployeesFromLastYearStillHere,AvgExperience,AvgCost,TotalCost,Variation,Turnover,PointOfFailure
microsoft office,0.05966862396604813,0.32104290389528656,16,17.0,14.0,3.8,82000,1312000,-1.0,0.17647058823529416,0
requirements analysis,0.4449094327309732,0.3257810937913691,3,2.0,1.0,2.0,73000,219000,1.0,0.5,0
visio,0.43914594089297343,0.34590881734472123,2,1.0,1.0,2.0,72250,144500,1.0,0.0,1
process improvement,0.14326080043047362,0.31641387718530173,13,11.0,11.0,3.4,98923,1285999,2.0,0.0,0
change management,0.18569880464635433,0.3050068306072419,9,6.0,5.0,3.0,93388,840492,3.0,0.16666666666666666,0
project management,0.14988166728348873,0.25984261596753716,24,23.0,20.0,2.8,87979,2111496,1.0,0.13043478260869568,0
business intelligence,0.4391095507639398,0.3888515967807225,3,2.0,2.0,2.7,73166,219498,1.0,0.0,0
documentation,0.32374209883989924,0.36875846886772456,2,2.0,2.0,3.0,66250,132500,0.0,0.0,1
java,0.8984489766229601,0.7103195381873355,14,16.0,11.0,3.0,75642,1058988,-2.0,0.3125,0
event management,0.1674202589578166,0.2396524152132997,20,20.0,16.0,3.2,88425,1768500,0.0,0.2,0
program management,0.3495724658479981,0.3066690217208109,2,1.0,1.0,2.0,102250,204500,1.0,0.0,1
microsoft excel,0.08683780224539765,0.31931230918635156,12,12.0,9.0,2.8,69500,834000,0.0,0.25,0
project planning,0.32850781132311746,0.309740782006006,4,3.0,3.0,3.5,111125,444500,1.0,0.0,0
it strategy,0.1944131211796035,0.7079677598138842,3,3.0,3.0,2.0,74833,224499,0.0,0.0,0
team building,0.17323029408464535,0.28723328599219394,11,11.0,7.0,3.3,93772,1031492,0.0,0.3636363636363637,0
business analysis,0.18807080580106175,0.2605365792570992,7,6.0,6.0,3.4,85571,598997,1.0,0.0,0
problem solving,0.19997084818304056,0.2761877869862779,1,0.0,0.0,1.0,72000,72000,0.0,0.0,1
